asset_id,asset_name,owner_name,owner_classification,percentage_of_ownership,owner_direct_parent,owner_grouping,operator_name,percentage_of_operation,data_source,url,recency,created_date,original_inventory_sector
5093516,Valero Refining Company-Tennessee LLC Memphis,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations?location_type_id=1', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.996275,oil-and-gas-refining
5093517,PDV Midwest Refining LLC Lemont,PDV America Inc,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.982275,oil-and-gas-refining
5093518,Lima Refining Company Lima,Cenovus Energy Inc,,,Cenovus,Cenovus,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.cenovus.com/Our-operations/Upgrading-and-refining', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.95833,oil-and-gas-refining
5093519,Toledo Refining Co LLC Toledo,PBF Energy Co LLC,,,PBF Energy,PBF Energy,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.981689,oil-and-gas-refining
5093520,Delaware City Refining Co LLC Delaware City,PBF Energy Co LLC,,,PBF Energy,PBF Energy,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.981743,oil-and-gas-refining
5093521,Citgo Refining & Chemical Inc Corpus Christi,PDV America Inc,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.982335,oil-and-gas-refining
5093522,HollyFrontier El Dorado Refining LLC El Dorado,HollyFrontier Corp,,,REH Company,REH Company,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'Looks like new parent company here: https://www.businesswire.com/news/home/20220313005024/en/HollyFrontier-and-Holly-Energy-Partners-Announce-Completion-of-Transactions-with-The-Sinclair-Companies-and-Establishment-of-New-Parent-Company-HF-Sinclair-Corporation', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.985839,oil-and-gas-refining
5093523,Torrance Refining Co LLC Torrance,PBF Energy Co LLC,,,PBF Energy,PBF Energy,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.981796,oil-and-gas-refining
5093524,Martinez Refining Co LLC Martinez,PBF Energy Co LLC,,,PBF Energy,PBF Energy,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.98185,oil-and-gas-refining
5093525,BP-Husky Refining LLC Toledo,BP-Husky Refining LLC,,,BP & Cenovus,BP & Cenovus,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-to-sell-interest-in-bp-husky-toledo-refinery-to-cenovus.html', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.957357,oil-and-gas-refining
5093526,WRB Refining LP Borger,WRB Refining LP,,,Cenovus,Cenovus,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.958484,oil-and-gas-refining
5093527,HollyFrontier Puget Sound Refining LLC Anacortes,HollyFrontier Corp,,,REH Company,REH Company,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'Looks like new parent company here: https://www.businesswire.com/news/home/20220313005024/en/HollyFrontier-and-Holly-Energy-Partners-Announce-Completion-of-Transactions-with-The-Sinclair-Companies-and-Establishment-of-New-Parent-Company-HF-Sinclair-Corporation', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.985897,oil-and-gas-refining
5093528,Valero Refining Co California Benicia,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations/benicia-refinery', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.996366,oil-and-gas-refining
5093529,Marathon Petroleum Co LP Detroit,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Detroit-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.97737,oil-and-gas-refining
5093530,Phillips 66 Company Wilmington,Phillips 66 Company,,,ConocoPhillips,ConocoPhillips,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.964006,oil-and-gas-refining
5093531,Calcasieu Refining Co Lake Charles,Transworld Oil USA Inc,,,Transworld Oil,Transworld Oil,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.99525,oil-and-gas-refining
5093532,Coffeyville Resources Rfg & Mktg Coffeyville,CVR Energy,,,Icahn Enterprises,Icahn Enterprises,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.972258,oil-and-gas-refining
